Segment	Cluster_tbe_n75_20	Accesion No	GenogroupName	NoRefSeq
9	1	MF124290	C	1
9	1	KU744641	C	2
9	2	KR085418	E	3
9	2	KX695178	E	4
9	2	EU839845	E	5
9	3	KU761005	D	6
9	3	LN713678	D	7
9	singleton	JN255161	F	8
9	singleton	KU760995	G	9
9	singleton	KX234086	H	10
9	4	MF384910	B	11
9	4	MF384911	B	12
9	4	JX272417	B	13
9	4	MF384883	B	14
9	4	MF384921	B	15
9	4	MF384897	B	16
9	4	MF384919	B	17
9	4	KM099645	B	18
9	4	MH346499	B	19
9	4	KM099653	B	20
9	4	MG206085	B	21
9	4	KT002586	B	22
9	4	KM099657	B	23
9	4	KP339242	B	24
9	4	JQ086229	B	25
9	4	KP696533	B	26
9	4	KF664131	B	27
9	4	KP696668	B	28
9	4	JX272407	B	29
9	4	KP821831	B	30
9	4	JX272467	B	31
9	4	KP339142	B	32
9	4	KP821922	B	33
9	4	KP821924	B	34
9	4	JF443161	B	35
9	4	KP339162	B	36
9	4	JX007930	B	37
9	4	JQ924828	B	38
9	4	JQ713562	B	39
9	4	JX272427	B	40
9	4	JQ086299	B	41
9	4	JQ086289	B	42
9	4	JQ086309	B	43
9	4	MF384933	B	44
9	5	KX164047	A	45
9	5	KX164087	A	46
9	5	KY091974	A	47
9	5	KX164107	A	48
9	5	KP696590	A	49
9	5	KM580444	A	50
9	5	U55778	A	51
9	5	JQ740779	A	52
9	5	U55785	A	53
9	5	KY091970	A	54
9	5	KX164057	A	55
9	5	KM580489	A	56
9	5	KY049851	A	57
9	5	GQ506524	A	58
9	5	KJ577112	A	59
9	5	KJ661737	A	60
9	5	KP821912	A	61
9	5	JN255900	A	62
9	5	KP821878	A	63
9	5	KP821853	A	64
9	5	KP821930	A	65
9	5	KP821921	A	66
9	5	KP821917	A	67
9	5	KP821938	A	68
9	5	KY654336	A	69
9	5	JQ970444	A	70
9	5	KP821880	A	71
9	5	JX272377	A	72
9	5	KP821867	A	73
9	5	KC853057	A	74
9	5	KP821902	A	75
9	5	JQ970442	A	76
9	5	KP821885	A	77
9	5	JX272567	A	78
9	5	JX272397	A	79
9	5	JX272487	A	80
9	5	JQ970461	A	81
9	5	JX272557	A	82
9	5	JX272447	A	83
9	5	JX272387	A	84
9	5	JX272577	A	85
9	5	JX272527	A	86
9	5	JX272607	A	87
9	5	KP821942	A	88
9	5	KP196611	A	89
9	5	JX272477	A	90
9	5	JX272437	A	91
9	5	JX272597	A	92
9	5	JX272587	A	93
9	5	JX272497	A	94
9	5	JX272517	A	95
9	5	JX272537	A	96
9	5	JX272507	A	97
9	5	JX272547	A	98
9	5	EU220291	A	99
9	5	KY049879	A	100
9	5	KF986504	A	101
9	5	JX272457	A	102
9	5	KY091968	A	103
9	5	KX164127	A	104
9	5	JX680465	A	
