querySequenceId	categoryId	direction
ncbi-curated/AB686227	S6_genotype_16	FORWARD
ncbi-curated/AB686228	S6_genotype_16	FORWARD
ncbi-curated/AB686229	S6_genotype_16	FORWARD
ncbi-curated/AB686230	S6_genotype_12	FORWARD
ncbi-curated/AB686231	S6_genotype_16	FORWARD
ncbi-curated/AB686232	S6_genotype_16	FORWARD
ncbi-curated/AB686233	S6_genotype_16	FORWARD
ncbi-curated/AB686234	S6_genotype_16	FORWARD
ncbi-curated/AB686235	S6_genotype_16	FORWARD
ncbi-curated/AB686236	S6_genotype_16	FORWARD
ncbi-curated/AB686237	S6_genotype_5	FORWARD
ncbi-curated/AB686238	S6_genotype_1	FORWARD
ncbi-curated/AB686238	S6_genotype_2	FORWARD
ncbi-curated/AB686238	S6_genotype_23	FORWARD
ncbi-curated/AB686239	S6_genotype_16	FORWARD
ncbi-curated/AB686240	S6_genotype_16	FORWARD
ncbi-curated/AJ586656	S6_genotype_1	FORWARD
ncbi-curated/AJ586657	S6_genotype_1	FORWARD
ncbi-curated/AJ586658	S6_genotype_1	FORWARD
ncbi-curated/AJ586659	S6_genotype_1	FORWARD
ncbi-curated/AJ586660	S6_genotype_1	FORWARD
ncbi-curated/AJ586661	S6_genotype_1	FORWARD
ncbi-curated/AJ586662	S6_genotype_1	FORWARD
ncbi-curated/AJ586663	S6_genotype_1	FORWARD
ncbi-curated/AJ586664	S6_genotype_1	FORWARD
ncbi-curated/AJ586665	S6_genotype_2	FORWARD
ncbi-curated/AJ586666	S6_genotype_2	FORWARD
ncbi-curated/AJ586667	S6_genotype_2	FORWARD
ncbi-curated/AJ586668	S6_genotype_2	FORWARD
ncbi-curated/AJ586669	S6_genotype_2	FORWARD
ncbi-curated/AJ586670	S6_genotype_2	FORWARD
ncbi-curated/AJ586671	S6_genotype_2	FORWARD
ncbi-curated/AJ586672	S6_genotype_2	FORWARD
ncbi-curated/AJ586673	S6_genotype_2	FORWARD
ncbi-curated/AJ586674	S6_genotype_2	FORWARD
ncbi-curated/AJ586675	S6_genotype_23	FORWARD
ncbi-curated/AJ586675	S6_genotype_1	FORWARD
ncbi-curated/AJ586675	S6_genotype_2	FORWARD
ncbi-curated/AJ586676	S6_genotype_11	FORWARD
ncbi-curated/AJ586677	S6_genotype_24	FORWARD
ncbi-curated/AJ586678	S6_genotype_4	FORWARD
ncbi-curated/AJ586679	S6_genotype_4	FORWARD
ncbi-curated/AJ586680	S6_genotype_11	FORWARD
ncbi-curated/AJ586681	S6_genotype_4	FORWARD
ncbi-curated/AJ586682	S6_genotype_24	FORWARD
ncbi-curated/AJ586682	S6_genotype_4	FORWARD
ncbi-curated/AJ586682	S6_genotype_11	FORWARD
ncbi-curated/AJ586683	S6_genotype_9	FORWARD
ncbi-curated/AJ586684	S6_genotype_5	FORWARD
ncbi-curated/AJ586685	S6_genotype_5	FORWARD
ncbi-curated/AJ586686	S6_genotype_5	FORWARD
ncbi-curated/AJ586687	S6_genotype_5	FORWARD
ncbi-curated/AJ586688	S6_genotype_5	FORWARD
ncbi-curated/AJ586689	S6_genotype_16	FORWARD
ncbi-curated/AJ586690	S6_genotype_16	FORWARD
ncbi-curated/AJ586691	S6_genotype_16	FORWARD
ncbi-curated/AJ586692	S6_genotype_16	FORWARD
ncbi-curated/AJ586693	S6_genotype_16	FORWARD
ncbi-curated/AJ586694	S6_genotype_6	FORWARD
ncbi-curated/AJ586694	S6_genotype_3	FORWARD
ncbi-curated/AJ586695	S6_genotype_1	FORWARD
ncbi-curated/AJ586696	S6_genotype_2	FORWARD
ncbi-curated/AJ586697	S6_genotype_3	FORWARD
ncbi-curated/AJ586698	S6_genotype_6	FORWARD
ncbi-curated/AJ586698	S6_genotype_3	FORWARD
ncbi-curated/AJ586699	S6_genotype_4	FORWARD
ncbi-curated/AJ586700	S6_genotype_5	FORWARD
ncbi-curated/AJ586701	S6_genotype_5	FORWARD
ncbi-curated/AJ586702	S6_genotype_5	FORWARD
ncbi-curated/AJ586703	S6_genotype_6	FORWARD
ncbi-curated/AJ586704	S6_genotype_7	FORWARD
ncbi-curated/AJ586705	S6_genotype_8	FORWARD
ncbi-curated/AJ586706	S6_genotype_18	FORWARD
ncbi-curated/AJ586707	S6_genotype_8	FORWARD
ncbi-curated/AJ586708	S6_genotype_9	FORWARD
ncbi-curated/AJ586709	S6_genotype_10	FORWARD
ncbi-curated/AJ586710	S6_genotype_11	FORWARD
ncbi-curated/AJ586711	S6_genotype_12	FORWARD
ncbi-curated/AJ586712	S6_genotype_12	FORWARD
ncbi-curated/AJ586713	S6_genotype_13	FORWARD
ncbi-curated/AJ586714	S6_genotype_14	FORWARD
ncbi-curated/AJ586715	S6_genotype_14	FORWARD
ncbi-curated/AJ586716	S6_genotype_15	FORWARD
ncbi-curated/AJ586717	S6_genotype_15	FORWARD
ncbi-curated/AJ586718	S6_genotype_15	FORWARD
ncbi-curated/AJ586719	S6_genotype_16	FORWARD
ncbi-curated/AJ586720	S6_genotype_17	FORWARD
ncbi-curated/AJ586721	S6_genotype_18	FORWARD
ncbi-curated/AJ586722	S6_genotype_19	FORWARD
ncbi-curated/AJ586723	S6_genotype_20	FORWARD
ncbi-curated/AJ586724	S6_genotype_21	FORWARD
ncbi-curated/AJ586725	S6_genotype_22	FORWARD
ncbi-curated/AJ586726	S6_genotype_22	FORWARD
ncbi-curated/AJ586727	S6_genotype_23	FORWARD
ncbi-curated/AJ586728	S6_genotype_23	FORWARD
ncbi-curated/AJ586729	S6_genotype_23	FORWARD
ncbi-curated/AJ586730	S6_genotype_24	FORWARD
ncbi-curated/AJ631214	S6_genotype_2	FORWARD
ncbi-curated/AJ631214	S6_genotype_1	FORWARD
ncbi-curated/AJ631214	S6_genotype_23	FORWARD
ncbi-curated/AJ631215	S6_genotype_9	FORWARD
ncbi-curated/AJ631216	S6_genotype_23	FORWARD
ncbi-curated/AJ631217	S6_genotype_23	FORWARD
ncbi-curated/AJ783902	S6_genotype_1	FORWARD
ncbi-curated/AJ783903	S6_genotype_1	FORWARD
ncbi-curated/AJ783904	S6_genotype_2	FORWARD
ncbi-curated/AJ783905	S6_genotype_2	FORWARD
ncbi-curated/AJ783906	S6_genotype_2	FORWARD
ncbi-curated/AJ783907	S6_genotype_23	FORWARD
ncbi-curated/AJ783908	S6_genotype_24	FORWARD
ncbi-curated/AJ783909	S6_genotype_24	FORWARD
ncbi-curated/AM498056	S6_genotype_18	FORWARD
ncbi-curated/AM773703	S6_genotype_16	FORWARD
ncbi-curated/AM773704	S6_genotype_16	FORWARD
ncbi-curated/AY129083	S6_genotype_2	FORWARD
ncbi-curated/AY129084	S6_genotype_2	FORWARD
ncbi-curated/AY189951	S6_genotype_2	FORWARD
ncbi-curated/AY493690	S6_genotype_1	FORWARD
ncbi-curated/AY493690	S6_genotype_2	FORWARD
ncbi-curated/AY493690	S6_genotype_23	FORWARD
ncbi-curated/AY643508	S6_genotype_23	FORWARD
ncbi-curated/AY643509	S6_genotype_23	FORWARD
ncbi-curated/AY643510	S6_genotype_23	FORWARD
ncbi-curated/AY855276	S6_genotype_2	FORWARD
ncbi-curated/AY855277	S6_genotype_2	FORWARD
ncbi-curated/AY855278	S6_genotype_2	FORWARD
ncbi-curated/AY855279	S6_genotype_2	FORWARD
ncbi-curated/AY855280	S6_genotype_13	FORWARD
ncbi-curated/AY855281	S6_genotype_17	FORWARD
ncbi-curated/D12532	S6_genotype_10	FORWARD
ncbi-curated/DQ080910	S6_genotype_17	FORWARD
ncbi-curated/DQ080911	S6_genotype_17	FORWARD
ncbi-curated/DQ080912	S6_genotype_17	FORWARD
ncbi-curated/DQ080913	S6_genotype_17	FORWARD
ncbi-curated/DQ080914	S6_genotype_17	FORWARD
ncbi-curated/DQ080915	S6_genotype_17	FORWARD
ncbi-curated/EU422952	S6_genotype_1	FORWARD
ncbi-curated/EU422953	S6_genotype_1	FORWARD
ncbi-curated/EU443927	S6_genotype_1	FORWARD
ncbi-curated/EU443928	S6_genotype_1	FORWARD
ncbi-curated/EU443929	S6_genotype_1	FORWARD
ncbi-curated/EU839842	S6_genotype_25	FORWARD
ncbi-curated/FJ183379	S6_genotype_18	FORWARD
ncbi-curated/FJ969723	S6_genotype_1	FORWARD
ncbi-curated/FM179950	S6_genotype_16	FORWARD
ncbi-curated/FM179951	S6_genotype_16	FORWARD
ncbi-curated/GQ506456	S6_genotype_18	FORWARD
ncbi-curated/GQ506464	S6_genotype_6	FORWARD
ncbi-curated/GQ506477	S6_genotype_6	FORWARD
ncbi-curated/GQ506483	S6_genotype_6	FORWARD
ncbi-curated/GQ506493	S6_genotype_3	FORWARD
ncbi-curated/GQ506511	S6_genotype_6	FORWARD
ncbi-curated/GQ506521	S6_genotype_3	FORWARD
ncbi-curated/GQ506531	S6_genotype_6	FORWARD
ncbi-curated/GQ506541	S6_genotype_3	FORWARD
ncbi-curated/GQ506541	S6_genotype_6	FORWARD
ncbi-curated/GU213110	S6_genotype_2	FORWARD
ncbi-curated/GU784864	S6_genotype_1	FORWARD
ncbi-curated/GU784864	S6_genotype_2	FORWARD
ncbi-curated/GU784864	S6_genotype_23	FORWARD
ncbi-curated/GU931314	S6_genotype_3	FORWARD
ncbi-curated/JF443160	S6_genotype_5	FORWARD
ncbi-curated/JF443160	S6_genotype_3	FORWARD
ncbi-curated/JF815523	S6_genotype_2	FORWARD
ncbi-curated/JF899598	S6_genotype_2	FORWARD
ncbi-curated/JF969307	S6_genotype_3	FORWARD
ncbi-curated/JF969307	S6_genotype_6	FORWARD
ncbi-curated/JF980714	S6_genotype_16	FORWARD
ncbi-curated/JN255159	S6_genotype_26	FORWARD
ncbi-curated/JN255867	S6_genotype_2	FORWARD
ncbi-curated/JN255877	S6_genotype_2	FORWARD
ncbi-curated/JN255887	S6_genotype_24	FORWARD
ncbi-curated/JN255897	S6_genotype_24	FORWARD
ncbi-curated/JN255907	S6_genotype_5	FORWARD
ncbi-curated/JN255917	S6_genotype_5	FORWARD
ncbi-curated/JN255927	S6_genotype_2	FORWARD
ncbi-curated/JN255937	S6_genotype_2	FORWARD
ncbi-curated/JN255947	S6_genotype_11	FORWARD
ncbi-curated/JN255957	S6_genotype_9	FORWARD
ncbi-curated/JN255967	S6_genotype_9	FORWARD
ncbi-curated/JN572916	S6_genotype_16	FORWARD
ncbi-curated/JN572918	S6_genotype_16	FORWARD
ncbi-curated/JN579709	S6_genotype_5	FORWARD
ncbi-curated/JN579709	S6_genotype_16	FORWARD
ncbi-curated/JN579709	S6_genotype_3	FORWARD
ncbi-curated/JN671911	S6_genotype_16	FORWARD
ncbi-curated/JN704635	S6_genotype_10	FORWARD
ncbi-curated/JN848764	S6_genotype_1	FORWARD
ncbi-curated/JN881990	S6_genotype_2	FORWARD
ncbi-curated/JN881990	S6_genotype_1	FORWARD
ncbi-curated/JN881990	S6_genotype_23	FORWARD
ncbi-curated/JQ086226	S6_genotype_15	FORWARD
ncbi-curated/JQ086236	S6_genotype_21	FORWARD
ncbi-curated/JQ086246	S6_genotype_2	FORWARD
ncbi-curated/JQ086246	S6_genotype_23	FORWARD
ncbi-curated/JQ086256	S6_genotype_20	FORWARD
ncbi-curated/JQ086266	S6_genotype_21	FORWARD
ncbi-curated/JQ086276	S6_genotype_23	FORWARD
ncbi-curated/JQ086286	S6_genotype_16	FORWARD
ncbi-curated/JQ086286	S6_genotype_21	FORWARD
ncbi-curated/JQ086296	S6_genotype_7	FORWARD
ncbi-curated/JQ086296	S6_genotype_19	FORWARD
ncbi-curated/JQ086306	S6_genotype_5	FORWARD
ncbi-curated/JQ240326	S6_genotype_2	FORWARD
ncbi-curated/JQ414051	S6_genotype_5	FORWARD
