isolate	pub_id	Seg-1	Seg-2	Seg-3	Seg-4	Seg-5	Seg-6	Seg-7	Seg-8	Seg-9	Seg-10	host	country	collection_year	collection_month	collection_month_day	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	clinical_symptoms		
53	UP			AF018264									Malaysia				field							
160	UP	JX272489	JX272490	JX272491	JX272492	JX272493	JX272494	JX272495	JX272496	JX272497	JX272498		South Africa											
173	22422063		AB686213				AB686227					Bos taurus	Japan	1985			field	Kumamoto	blood	HmLu-1/6	Mammalian			
185	24916442	KF986497	KF986501	KF986489	KF986515	KF986493	KF986494	KF986503	KF986516	KF986507	KF986491	Bos taurus	Panama	1989	OCT	5	field		blood					
299	29169390	KY485049	MF384452	MF384514	MF384576	MF384638	MF384700	MF384762	MF384824	MF384886	MF384997	Bos taurus	Australia	1999			field	Queensland	blood			No		
319	11900839										AF397295	Ovis aries	USA				field	Southern California						
379	25767218	LN713671	KM200718	LN713672	LN713673	LN713674	LN713675	LN713676	LN713677	LN713678	LN713679	Capra aegagrus hircus	France	2014	JAN	16	field	Corsica	blood	BSR?	Mammalian			
595	11900839										AF397283	Ovis aries	USA				field	Southern California						
705	29169390	KY485062	MF384465	MF384527	MF384589	MF384651	MF384713	MF384775	MF384837	MF384898	MF384973	Bos taurus	Australia	2000			field	Queensland	blood			No		
837	29169390	KY485056	MF384459	MF384521	MF384583	MF384645	MF384707	MF384769	MF384831	MF384893	MF384974	Bos taurus	Australia	2001			field	Queensland	blood			No		
925	11900839										AF397284	Ovis aries	USA				field	Southern California						
926	11900839										AF397285	Ovis aries	USA				field	Southern California						
973	29169390	KY485042	MF384445	MF384507	MF384569	MF384631	MF384693	MF384755	MF384817	MF384879	MF384975	Bos taurus	Australia	2002			field	Queensland	blood			No		
999	29169390	KY485083	MF384486	MF384548	MF384610	MF384672	MF384734	MF384796	MF384858	MF384918	MF384987	Bos taurus	Australia	2002			field	Queensland	blood			No		
1032	11900839										AF397281	Ovis aries	USA				field	Southern California						
1121	29169390	KY485068	MF384471	MF384533	MF384595	MF384657	MF384719	MF384781	MF384843	MF384904	MF384976	Bos taurus	Australia	2003			field	Queensland	blood			No		
1353	UP									DQ289049		Bos taurus	Australia				field		blood					
1504	UP	JX272549	JX272550	JX272551	JX272552	JX272553	JX272554	JX272555	JX272556	JX272557	JX272558		South Africa											
1541	UP									DQ289050		Bos taurus	Australia				field		blood					
1857	29169390	KY485069	MF384472	MF384534	MF384596	MF384658	MF384720	MF384782	MF384844	MF384905	MF384977	Bos taurus	Australia	2006			field	Queensland	blood			No		
1923	29169390	KY485065	MF384468	MF384530	MF384592	MF384654	MF384716	MF384778	MF384840	MF384901	MF384978	Bos taurus	Australia	2007			field	Queensland	blood			No		
1999	17280733		AY839947					AY841352				Ovis aries	Greece	1999			field							
1999	17280733								AY857500		AY857504	Ovis aries	Greece	1999			field							
2000	17280733		AY839946					AY841351				Ovis aries	Greece	2000			field							
2000	17280733								AY857501		AY857505	Ovis aries	Greece	2000			field							
2442	11900839										AF397282	Ovis aries	USA				field	Southern California						
2627	UP	JX272519	JX272520	JX272521	JX272522	JX272523	JX272524	JX272525	JX272526	JX272527	JX272528		South Africa											
2766	UP	JX272529	JX272530	JX272531	JX272532	JX272533	JX272534	JX272535	JX272536	JX272537	JX272538		South Africa											
4574	UP	JX272509	JX272510	JX272511	JX272512	JX272513	JX272514	JX272515	JX272516	JX272517	JX272518		South Africa											
4868	UP	JX272569	JX272570	JX272571	JX272572	JX272573	JX272574	JX272575	JX272576	JX272577	JX272578		South Africa											
5011	UP	JX272559	JX272560	JX272561	JX272562	JX272563	JX272564	JX272565	JX272566	JX272567	JX272568		South Africa											
5012	UP	JX272379	JX272380	JX272381	JX272382	JX272383	JX272384	JX272385	JX272386	JX272387	JX272388		South Africa											
5036	UP	JX272599	JX272600	JX272601	JX272602	JX272603	JX272604	JX272605	JX272606	JX272607	JX272608		South Africa											
7766	UP	JX272459	JX272460	JX272461	JX272462	JX272463	JX272464	JX272465	JX272466	JX272467	JX272468		South Africa											
8054	16283915		DQ191260										Italy	2001			field	Puglia		E?V?	Mammalian			
8231	UP	JX272589	JX272590	JX272591	JX272592	JX272593	JX272594	JX272595	JX272596	JX272597	JX272598		South Africa											
8340	16283915		DQ191272									Ovis aries	Italy	2000			field	Castiadas-Sardinia	lymph-node	E?V?	Mammalian			
8368	16283915		DQ191285									Ovis aries	Italy	2001			field	Petrona-Calabria	blood	E?V?	Mammalian			
8438	UP	JX272539	JX272540	JX272541	JX272542	JX272543	JX272544	JX272545	JX272546	JX272547	JX272548		South Africa											
8602	16283915		DQ191273									Ovis aries	Italy	2000			field	Oristano-Sardinia	spleen	E?V?	Mammalian			
10353	16283915		DQ191280									Ovis aries	Italy	2003			field	Sardinia	blood	E?V?	Mammalian			
10670	16283915		DQ191263									Ovis aries	Italy	2001			field	Careri-Calabria	spleen	E?V?	Mammalian			
11508	16283915		DQ191284									Ovis aries	Italy	2001			field	Noepoli-Basilicata	blood	E?V?	Mammalian			
11920	16283915		DQ191282									Ovis aries	Italy	2001			field	Bianco-Calabria	spleen	E?V?	Mammalian			
17356	16283915		DQ191265									Cervus elaphus corsicanus	Italy	2001			field	Seui-Sardinia	bone marrow	E?V?	Mammalian			
23/08/1965	UP	JX272469	JX272470	JX272471	JX272472	JX272473	JX272474	JX272475	JX272476	JX272477	JX272478		South Africa											
70621	UP										EU450660	Bos taurus	Switzerland				field		blood					
75005	UP	JX272499	JX272500	JX272501	JX272502	JX272503	JX272504	JX272505	JX272506	JX272507	JX272508		South Africa											
79043	UP	JX272579	JX272580	JX272581	JX272582	JX272583	JX272584	JX272585	JX272586	JX272587	JX272588		South Africa											
80022	UP										EU450661	Bos taurus	Switzerland				field		blood					
