Segment	Cluster_tbe_n75_20	Accesion No	GenogroupName	NoRefSeq
10	1	KU760996	D	1
10	1	EU839846	D	2
10	2	LN713679	E	3
10	2	KU761006	E	4
10	2	KR085419	E	5
10	2	JN255162	E	6
10	2	KX695179	E	7
10	2	KT946752	E	8
10	singleton	KX234087	F	9
10	3	JX272458	A	10
10	3	KY091914	A	11
10	3	KY091916	A	12
10	3	KM580455	A	13
10	3	KX164108	A	14
10	3	KM580421	A	15
10	3	KP339253	A	16
10	3	KY091907	A	17
10	3	KX164158	A	18
10	3	KX164058	A	19
10	3	KY091902	A	20
10	3	KX599368	A	21
10	3	JX024944	A	22
10	3	KY049889	A	23
10	3	KY091920	A	24
10	3	KY049880	A	25
10	3	KX164078	A	26
10	3	KY091903	A	27
10	3	JQ972870	A	28
10	3	KY091927	A	29
10	3	KY049862	A	30
10	3	KF584199	A	31
10	3	JX272448	A	32
10	3	JX272378	A	33
10	3	KP822042	A	34
10	3	KP822008	A	35
10	3	KP822036	A	36
10	3	JX272488	A	37
10	3	JX272608	A	38
10	3	JX272588	A	39
10	3	JX272528	A	40
10	3	JX272578	A	41
10	3	KP196612	A	42
10	3	JX272598	A	43
10	3	JX272478	A	44
10	3	JX272538	A	45
10	3	JX272498	A	46
10	3	JX272568	A	47
10	3	JX272388	A	48
10	3	JX272508	A	49
10	3	KF460444	A	50
10	3	GQ506497	A	51
10	4	AF135228	B	52
10	4	KM099672	B	53
10	4	AF529050	B	54
10	4	MF384993	B	55
10	4	MF384986	B	56
10	4	AB504736	B	57
10	4	MG206086	B	58
10	4	AF135227	B	59
10	4	KC879624	B	60
10	4	KF560426	B	61
10	4	JF443165	B	62
10	4	KX302643	B	63
10	4	KX650180	B	64
10	4	KP268783	B	65
10	4	KP696525	B	66
10	4	KP339173	B	67
10	4	MF615246	B	68
10	4	JX272408	B	69
10	4	AF135229	B	70
10	4	JX272468	B	71
10	4	KP821955	B	72
10	4	KP822046	B	73
10	4	KP821971	B	74
10	4	KP696581	B	75
10	4	KP339243	B	76
10	4	MF384985	B	77
10	4	MF384968	B	78
10	4	AF135226	B	79
10	4	AF135224	B	80
10	4	MF384998	B	81
10	4	MF384939	B	82
10	4	KM099675	B	83
10	4	MF384976	B	84
10	4	JX272418	B	85
10	4	KM099660	B	86
10	4	JX272428	B	87
10	4	MF384970	B	88
10	4	JQ086300	B	89
10	5	JX272518	C	90
10	5	KY091925	C	91
10	5	KY049871	C	92
10	5	KF986498	C	93
10	5	EF540936	C	94
10	5	KY091921	C	95
10	5	KY091901	C	96
10	5	AF044373	C	97
10	5	KY091926	C	98
10	5	JX272548	C	99
10	5	JX272398	C	100
10	5	JX889203	C	101
10	5	KT317674	C	102
10	5	KJ577133	C	103
10	5	KP821964	C	104
10	5	KP822034	C	105
10	5	KP821973	C	106
10	5	KP822059	C	107
10	5	KP821963	C	108
10	5	KP822051	C	109
10	5	KY654337	C	110
10	5	JX272558	C	111
10	5	AF512911	C	112
10	5	KF584178	C	113
10	5	KP822024	C	114
10	5	KP822018	C	115
10	5	KP821987	C	116
10	5	JX272438	C	117
10	5	JX680466	C	
