Segment	Cluster_tbe_n75_20	Accesion No	GenogroupName	NoRefSeq
3	singleton	KX234080	E	1
3	1	HM590643	C	2
3	1	MF124284	C	3
3	2	KX695172	D	4
3	2	KR085413	D	5
3	2	LN713672	D	6
3	2	KU760999	D	7
3	2	KU760989	D	8
3	2	GQ982523	D	9
3	3	KY092133	A	10
3	3	KX164031	A	11
3	3	KM580425	A	12
3	3	KX164081	A	13
3	3	JQ972863	A	14
3	3	JX024941	A	15
3	3	JX024951	A	16
3	3	KY092137	A	17
3	3	KY092141	A	18
3	3	KY049873	A	19
3	3	JX272451	A	20
3	3	JX272371	A	21
3	3	KP821199	A	22
3	3	KP821167	A	23
3	3	JX272391	A	24
3	3	JX272441	A	25
3	3	KP821159	A	26
3	3	KP821185	A	27
3	3	KP821130	A	28
3	3	MF124294	A	29
3	3	KP821144	A	30
3	3	KP821124	A	31
3	3	KP821216	A	32
3	3	GQ506518	A	33
3	3	KP821177	A	34
3	3	KP821114	A	35
3	3	JX272601	A	36
3	3	DQ186818	A	37
3	3	JX272551	A	38
3	3	JX272561	A	39
3	3	JX272541	A	40
3	3	KT002580	A	41
3	3	JX272481	A	42
3	3	JX272591	A	43
3	3	JX272571	A	44
3	3	JX272521	A	45
3	3	JX272431	A	46
3	3	JX272501	A	47
3	3	JX272531	A	48
3	3	JX272491	A	49
3	3	JX272381	A	50
3	3	JX272511	A	51
3	3	JX272581	A	52
3	3	KP196605	A	53
3	3	KP821220	A	54
3	3	JX272471	A	55
3	4	MH346493	F	56
3	4	JQ086223	F	57
3	5	KP821127	B	58
3	5	JX272401	B	59
3	5	JX560415	B	60
3	5	KP696682	B	61
3	5	KP696527	B	62
3	5	KP339136	B	63
3	5	JX007925	B	64
3	5	JQ771815	B	65
3	5	KP696624	B	66
3	5	KC662614	B	67
3	5	JF443158	B	68
3	5	MF615239	B	69
3	5	MG206079	B	70
3	5	JQ713558	B	71
3	5	KM099550	B	72
3	5	MF384539	B	73
3	5	JQ086273	B	74
3	5	JQ086303	B	75
3	5	KM099543	B	76
3	5	MF384534	B	77
3	5	MF384507	B	78
3	5	MF384545	B	79
3	5	MF384551	B	80
3	5	JX272411	B	81
3	5	JQ086293	B	82
3	5	JX272421	B	83
3	5	JQ086233	B	84
3	5	KC879617	B	85
3	5	MF384560	B	86
3	5	MF384558	B	87
3	5	KM099555	B	88
3	5	GU390660	B	89
3	5	KP821109	B	90
3	5	JX272461	B	91
3	3	JX680459	A	
