querySequenceId	categoryId	direction
ncbi-curated/AB449049	S2_genotype_21	FORWARD
ncbi-curated/AB449050	S2_genotype_21	FORWARD
ncbi-curated/AB449051	S2_genotype_21	FORWARD
ncbi-curated/AB449052	S2_genotype_21	FORWARD
ncbi-curated/AB449053	S2_genotype_21	FORWARD
ncbi-curated/AB449054	S2_genotype_21	FORWARD
ncbi-curated/AB686213	S2_genotype_16	FORWARD
ncbi-curated/AB686214	S2_genotype_16	FORWARD
ncbi-curated/AB686215	S2_genotype_21	FORWARD
ncbi-curated/AB686216	S2_genotype_12	FORWARD
ncbi-curated/AB686217	S2_genotype_16	FORWARD
ncbi-curated/AB686218	S2_genotype_21	FORWARD
ncbi-curated/AB686219	S2_genotype_3	FORWARD
ncbi-curated/AB686220	S2_genotype_16	FORWARD
ncbi-curated/AB686221	S2_genotype_16	FORWARD
ncbi-curated/AB686222	S2_genotype_16	FORWARD
ncbi-curated/AB686223	S2_genotype_9	FORWARD
ncbi-curated/AB686224	S2_genotype_2	FORWARD
ncbi-curated/AB686225	S2_genotype_16	FORWARD
ncbi-curated/AB686226	S2_genotype_16	FORWARD
ncbi-curated/AF017278	S2_genotype_17	FORWARD
ncbi-curated/AF017279	S2_genotype_17	FORWARD
ncbi-curated/AF135217	S2_genotype_1	FORWARD
ncbi-curated/AF135218	S2_genotype_2	FORWARD
ncbi-curated/AF135219	S2_genotype_3	FORWARD
ncbi-curated/AF135220	S2_genotype_4	FORWARD
ncbi-curated/AF135221	S2_genotype_15	FORWARD
ncbi-curated/AF135222	S2_genotype_16	FORWARD
ncbi-curated/AF356601	S2_genotype_2	FORWARD
ncbi-curated/AF481096	S2_genotype_2	FORWARD
ncbi-curated/AF494094	S2_genotype_2	FORWARD
ncbi-curated/AF530067	S2_genotype_16	FORWARD
ncbi-curated/AJ430057	S2_genotype_2	FORWARD
ncbi-curated/AJ430058	S2_genotype_2	FORWARD
ncbi-curated/AJ430059	S2_genotype_2	FORWARD
ncbi-curated/AJ430060	S2_genotype_2	FORWARD
ncbi-curated/AJ430061	S2_genotype_2	FORWARD
ncbi-curated/AJ430062	S2_genotype_2	FORWARD
