Segment	Cluster_tbe_n75_33	Accesion No	GenogroupName	NoRefSeq
6	1	KT946756	A	1
6	1	JX272504	A	2
6	1	KX164084	A	3
6	1	KX164094	A	4
6	1	KY092062	A	5
6	1	JX272394	A	6
6	2	JX272474	B	7
6	2	KP196608	B	8
6	2	MF384727	B	9
6	2	JQ086226	B	10
6	singleton	AM744982	G	11
6	3	KP821557	C	12
6	3	KX164134	C	13
6	3	JX272554	C	14
6	3	JX272434	C	15
6	4	JX272444	D	16
6	4	JX272544	D	17
6	4	KX164124	D	18
6	4	KP821559	D	19
6	4	AJ586706	D	20
6	4	KY092038	D	21
6	4	JX272534	D	22
6	4	KP821569	D	23
6	4	KP821508	D	24
6	4	AJ586667	D	25
6	4	KY513442	D	26
6	4	KP821509	D	27
6	4	JX272604	D	28
6	4	KP821517	D	29
6	4	JQ822253	D	30
6	4	KY092037	D	31
6	4	AY855279	D	32
6	4	JX272404	D	33
6	4	MF384751	D	34
6	4	KP696695	D	35
6	4	MF384712	D	36
6	4	MF384711	D	37
6	4	JN881990	D	38
6	4	KP696512	D	39
6	4	KP821487	D	40
6	4	KC879620	D	41
6	4	JQ086246	D	42
6	4	GU784864	D	43
6	4	KP339169	D	44
6	4	JX272384	D	45
6	4	KP821480	D	46
6	4	KP821483	D	47
6	4	KP821490	D	48
6	4	KP821504	D	49
6	4	KY049858	D	50
6	4	KY092036	D	51
6	5	AB686232	E	52
6	5	AB686228	E	53
6	5	JX272414	E	54
6	5	JQ086236	E	55
6	5	MG206082	E	56
6	5	JN572916	E	57
6	5	KF664138	E	58
6	5	KP821472	E	59
6	5	JX272464	E	60
6	5	MF384743	E	61
6	5	MF384749	E	62
6	5	AB686231	E	63
6	5	JQ771818	E	64
6	5	AB686233	E	65
6	5	JQ086306	E	66
6	5	MF384726	E	67
6	5	AB686237	E	68
6	5	KP339179	E	69
6	5	KP821564	E	70
6	5	AJ586702	E	71
6	5	JX272574	E	72
6	5	KX164064	E	73
6	5	MF124297	E	74
6	5	JX272564	E	75
6	5	JX272594	E	76
6	5	KX164044	E	77
6	5	KY092058	E	78
6	5	KY092055	E	79
6	5	KY092044	E	80
6	5	KX164054	E	81
6	5	JX272484	E	82
6	5	KP821576	E	83
6	5	JX272494	E	84
6	5	KY049876	E	85
6	6	KX234083	F	86
6	6	KU761002	F	87
6	6	KU760992	F	88
6	6	MF124287	F	89
6	6	JN255159	F	90
6	6	KX695175	F	91
6	6	KR061883	F	92
6	6	EU839842	F	93
6	6	LN713675	F	94
6	6	KM580485	F	95
6	6	JX272524	F	96
6	6	KP339249	F	97
6	6	KF560422	F	98
6	6	JX272424	F	99
6	6	JX272514	F	100
6	6	JX272584	F	101
6	6	KM580451	F	102
6	6	JX272454	F	103
6	6	JQ972866	F	104
6	6	JX024957	F	105
6	6	KX599364	F	107
6	6	KT317669	F	108
6	6	KY654333	F	109
6	6	KP821542	F	110
6	6	KP821539	F	111
6	6	JX272374	F	112
6	6	KP821541	F	113
6	6	KP821535	F	114
6	4	JX680462	D	
