Segment	Cluster_tbe_n75_20	Accesion No	GenogroupName	NoRefSeq
1	singleton	KX234078	E	1
1	1	MF124282	C	2
1	1	JN255156	C	3
1	2	KX695170	D	4
1	2	KR815991	D	5
1	2	GQ982522	D	6
1	2	KU760987	D	7
1	2	LN713671	D	8
1	2	KU760997	D	9
1	3	JX272539	A	10
1	3	KY091941	A	11
1	3	KX164079	A	12
1	3	KX164049	A	13
1	3	KM580432	A	14
1	3	KM580446	A	15
1	3	KM580413	A	16
1	3	JX272469	A	17
1	3	JX272589	A	18
1	3	JX272499	A	19
1	3	JX272529	A	20
1	3	JX272489	A	21
1	3	JX272509	A	22
1	3	JX272429	A	23
1	3	JX272579	A	24
1	3	JX272549	A	25
1	3	JX272569	A	26
1	3	JX272519	A	27
1	3	JX272379	A	28
1	3	JX272439	A	29
1	3	JX272479	A	30
1	3	KP196603	A	31
1	3	KP820920	A	32
1	3	KP820939	A	33
1	3	KP820938	A	34
1	3	MF124292	A	35
1	3	KY432369	A	36
1	3	KP820957	A	37
1	3	JX272389	A	38
1	3	KP820888	A	39
1	3	KP820944	A	40
1	3	KJ577104	A	41
1	3	KP820917	A	42
1	3	KP820967	A	43
1	3	KC853052	A	44
1	3	JX272369	A	45
1	3	GQ506516	A	46
1	3	JX272559	A	47
1	3	JX272599	A	48
1	3	KY049843	A	49
1	3	KX599359	A	50
1	3	L20508	A	51
1	3	KY091928	A	52
1	3	KY091934	A	53
1	3	KY091930	A	54
1	3	KX164119	A	55
1	3	KX164069	A	56
1	3	JX272449	A	57
1	3	KY091933	A	58
1	3	JQ972861	A	59
1	3	GQ506536	A	60
1	3	JX680457	A
1	4	KY485075	B	61
1	4	KC879615	B	62
1	4	KY485076	B	63
1	4	KY485077	B	64
1	4	JX272419	B	65
1	4	JQ086301	B	66
1	4	JN881985	B	67
1	4	KY485053	B	68
1	4	KY485050	B	69
1	4	KY485058	B	70
1	4	KY485090	B	71
1	4	KY485086	B	72
1	4	JX272409	B	73
1	4	KM099507	B	74
1	4	KP696517	B	75
1	4	MG206077	B	76
1	4	KM099521	B	77
1	4	GU390658	B	78
1	4	JQ713557	B	79
1	4	KF664113	B	80
1	4	KP339164	B	81
1	4	KP820867	B	82
1	4	JX272399	B	83
1	4	KF664133	B	84
1	4	JX399148	B	85
1	4	JF443166	B	86
1	4	KX302634	B	87
1	4	JN255912	B	88
1	4	KP820874	B	89
1	4	MF615237	B	90
1	4	JX272459	B	91
