Segment	Cluster_tbe_n75_20	Accesion No	GenogroupName	NoRefSeq
4	1	MF124285	C	1
4	1	KU744639	C	2
4	1	JN255157	C	3
4	2	KU760990	D	4
4	2	KU761000	D	5
4	2	LN713673	D	6
4	singleton	KX234081	E	7
4	singleton	GQ982524	F	8
4	3	KR085414	G	9
4	3	KX695173	G	10
4	4	JX272422	B	11
4	4	JQ086304	B	12
4	4	JQ086224	B	13
4	4	MF384623	B	14
4	4	JQ086234	B	15
4	4	MF384602	B	16
4	4	KM099564	B	17
4	4	JX272412	B	18
4	4	KM099560	B	19
4	4	MF384569	B	20
4	4	MF384597	B	21
4	4	MF384588	B	22
4	4	KP821249	B	23
4	4	KP821286	B	24
4	4	KP821229	B	25
4	4	KP821333	B	26
4	4	JX272462	B	27
4	4	MG206080	B	28
4	4	GU390661	B	29
4	4	MF384626	B	30
4	4	MF384627	B	31
4	4	KC879618	B	32
4	4	MF615240	B	33
4	4	KX302637	B	34
4	4	JQ771816	B	35
4	4	KP339237	B	36
4	4	KF560420	B	37
4	4	KP696555	B	38
4	4	JX272402	B	39
4	4	MF384603	B	40
4	4	MH346494	B	41
4	5	KY092109	A	42
4	5	KX164052	A	43
4	5	KY092112	A	44
4	5	KY092115	A	45
4	5	KY049865	A	46
4	5	KY049846	A	47
4	5	KX164022	A	48
4	5	KM580476	A	49
4	5	KX164132	A	50
4	5	KY092101	A	51
4	5	JX272452	A	52
4	5	KY092095	A	53
4	5	KF986506	A	54
4	5	KY092110	A	55
4	5	JQ972864	A	56
4	5	KM580419	A	57
4	5	KM580463	A	58
4	5	KX164102	A	59
4	5	KX599362	A	60
4	5	JX272502	A	61
4	5	JX272592	A	62
4	5	JX272472	A	63
4	5	KP196606	A	64
4	5	JX272542	A	65
4	5	JX272582	A	66
4	5	JX272562	A	67
4	5	JX272552	A	68
4	5	JX272512	A	69
4	5	JX272572	A	70
4	5	JX272522	A	71
4	5	JX272442	A	72
4	5	JX272482	A	73
4	5	JX272532	A	74
4	5	KP821295	A	75
4	5	JX272492	A	76
4	5	JX272432	A	77
4	5	JX272602	A	78
4	5	JX272382	A	79
4	5	JX272392	A	80
4	5	KT317668	A	81
4	5	JX272372	A	82
4	5	KT002581	A	83
4	5	KP821240	A	84
4	5	KP821329	A	85
4	5	KJ577127	A	86
4	5	KP821319	A	87
4	5	KP821250	A	88
4	5	KY432372	A	89
4	5	KY654331	A	90
4	5	KP821303	A	91
4	5	JX680460	A	
