Segment	Cluster_tbe_n75_20	Accesion No	GenogroupName	NoRefSeq
5	1	KX695174	E	1
5	1	KR085415	E	2
5	2	KU761001	D	3
5	2	KU760991	D	4
5	2	LN713674	D	5
5	2	KX234082	D	6
5	singleton	JN255158	F	7
5	singleton	EU839841	G	8
5	singleton	MF124286	H	9
5	3	KP821456	A	10
5	3	KP821360	A	11
5	3	JX272443	A	12
5	3	KP821431	A	13
5	3	KP821399	A	14
5	3	KP821388	A	15
5	3	KP821386	A	16
5	3	KP821370	A	17
5	3	KY654332	A	18
5	3	KC896847	A	19
5	3	KJ577108	A	20
5	3	KP821432	A	21
5	3	KP821384	A	22
5	3	KP821433	A	23
5	3	KP821439	A	24
5	3	JX272373	A	25
5	3	KP821403	A	26
5	3	JX272433	A	27
5	3	KP821398	A	28
5	3	JX272473	A	29
5	3	JX272563	A	30
5	3	JX272383	A	31
5	3	JX272553	A	32
5	3	JX272493	A	33
5	3	JX272503	A	34
5	3	JX272533	A	35
5	3	JX272483	A	36
5	3	KY513438	A	37
5	3	KP196607	A	38
5	3	JX272393	A	39
5	3	JX272513	A	40
5	3	JX272573	A	41
5	3	JX272523	A	42
5	3	JX272603	A	43
5	3	GQ506520	A	44
5	3	JX272583	A	45
5	3	JX272543	A	46
5	3	JX272403	A	47
5	3	JQ924824	A	48
5	3	KP696616	A	49
5	3	KP339148	A	50
5	3	KP339158	A	51
5	3	JX272593	A	52
5	3	MF124296	A	53
5	3	KY049884	A	54
5	3	KY092086	A	55
5	3	KX599363	A	56
5	3	JX272453	A	57
5	3	KY092067	A	58
5	3	JQ972865	A	59
5	3	KY092087	A	60
5	3	KY092077	A	61
5	3	KX164053	A	62
5	3	KX164103	A	63
5	3	KY092070	A	64
5	3	KY092075	A	65
5	3	KY092078	A	66
5	3	KP339248	A	67
5	4	MF384658	B	68
5	4	MF384631	B	69
5	4	KM099578	B	70
5	4	MF384676	B	71
5	4	JX272413	B	72
5	4	JQ086295	B	73
5	4	KM099574	B	74
5	4	JX272423	B	75
5	4	MF384664	B	76
5	5	KM099590	C	77
5	5	MF384686	C	78
5	5	MH346495	C	79
5	5	KT002582	C	80
5	5	KP696529	C	81
5	5	KP821352	C	82
5	5	KP821407	C	83
5	5	MF384665	C	84
5	5	AY462225	C	85
5	5	JX272463	C	86
5	5	KM485310	C	87
5	5	KP821367	C	88
5	5	MF384689	C	89
5	5	MG206081	C	90
5	5	MF384666	C	91
5	5	JQ086225	C	92
5	5	MF384636	C	93
5	5	KM099589	C	94
5	3	JX680461	A	
