Segment	Cluster_tbe_n75_20	Accesion No	GenogroupName	NoRefSeq
7	1	JX272555	D	1
7	1	JX272435	D	2
7	1	KX164135	D	3
7	2	JX272475	E	4
7	2	KP196609	E	5
7	3	JQ086227	H	6
7	3	MF384789	H	7
7	singleton	JX272395	I	8
7	4	AF188671	A	9
7	4	KP821681	A	10
7	4	KP821626	A	11
7	4	KP821646	A	12
7	4	JX272375	A	13
7	4	KJ577130	A	14
7	4	KJ577120	A	15
7	4	KY654334	A	16
7	4	KP821691	A	17
7	4	KT317671	A	18
7	4	JX272445	A	19
7	4	KP821645	A	20
7	4	JX272385	A	21
7	4	KP821673	A	22
7	4	KP821675	A	23
7	4	JX272545	A	24
7	4	JX272515	A	25
7	4	JX272535	A	26
7	4	JX272505	A	27
7	4	JX272525	A	28
7	4	JX272585	A	29
7	4	JX024958	A	30
7	4	KM580443	A	31
7	4	KM580431	A	32
7	4	KP339250	A	33
7	4	KY049859	A	34
7	4	KY049868	A	35
7	4	KY049886	A	36
7	4	JQ972867	A	37
7	4	KY092029	A	38
7	4	KF986509	A	39
7	4	KX164095	A	40
7	5	KU761003	J	41
7	5	LN713676	J	42
7	5	KU760993	J	43
7	5	KX234084	J	44
7	5	EU839843	J	45
7	5	HM590644	J	46
7	6	KX695176	K	47
7	6	KR085416	K	48
7	7	JX272495	B	49
7	7	JX272565	B	50
7	7	JX272595	B	51
7	7	JX272485	B	52
7	7	KX164055	B	53
7	7	KY092025	B	54
7	7	KY092033	B	55
7	7	KY092026	B	56
7	7	KY092011	B	57
7	7	KY092022	B	58
7	7	KY049877	B	59
7	7	JX272575	B	60
7	7	MF124298	B	61
7	7	KP821698	B	62
7	8	KP339240	F	63
7	8	KX302640	F	64
7	8	JQ771819	F	65
7	8	KP821591	F	66
7	8	MF384810	F	67
7	8	MG206083	F	68
7	8	JX272465	F	69
7	8	JQ086237	F	70
7	8	MF384807	F	71
7	8	MF384806	F	72
7	9	KY513443	C	73
7	9	KP821640	C	74
7	9	JN255878	C	75
7	9	JX272605	C	76
7	10	KC879621	G	77
7	10	AF172828	G	78
7	10	KP339150	G	79
7	10	KF560423	G	80
7	10	KP696548	G	81
7	10	KP696696	G	82
7	10	KP268780	G	83
7	10	JQ713561	G	84
7	10	KM099609	G	85
7	10	JX272425	G	86
7	10	KM099611	G	87
7	10	MF384797	G	88
7	10	MF384773	G	89
7	10	MF384799	G	90
7	10	JX272415	G	91
7	10	JX560419	G	92
7	10	KP821610	G	93
7	10	JX272405	G	94
7	10	GU390663	G	95
7	10	MF384784	G	96
7	10	MF384812	G	97
7	10	AF172826	G	98
7	4	JX680463	A	
