format	excluded	sequence_id	source_name	gb_gi_number	gb_primary_accession	gb_accession_version	gb_locus	gb_length	gb_lab_construct	gb_organism	gb_isolate	gb_taxonomy	gb_host	gb_country	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_create_date	gb_update_date	gb_serotype	gb_topotype	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells
GENBANK_XML	yes	1H1K_I	ncbi-curated	24158637	1H1K_I	1H1K_I	1H1K_I	412	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	20/10/2002	10/10/2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	yes	1H1K_J	ncbi-curated	24158638	1H1K_J	1H1K_J	1H1K_J	276	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	20/10/2002	10/10/2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	yes	1H1K_K	ncbi-curated	24158639	1H1K_K	1H1K_K	1H1K_K	265	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	20/10/2002	10/10/2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	yes	1H1K_L	ncbi-curated	24158640	1H1K_L	1H1K_L	1H1K_L	412	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	20/10/2002	10/10/2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	yes	1H1K_M	ncbi-curated	24158641	1H1K_M	1H1K_M	1H1K_M	276	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	20/10/2002	10/10/2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	yes	1H1K_N	ncbi-curated	24158642	1H1K_N	1H1K_N	1H1K_N	265	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	20/10/2002	10/10/2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	no	914340803	ncbi-curated	914340803	KP821503	KP821503.1	KP821503	1635	NULL	Bluetongue virus 1	SPA2009/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Spain	2009	NULL	NULL	16/08/2015	16/08/2015	1	NULL	field	Galicia	blood	E1C6/36 1BHK5	Mammalian
GENBANK_XML	no	914340805	ncbi-curated	914340805	KP821504	KP821504.1	KP821504	1635	NULL	Bluetongue virus 1	SUD1987/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides imicola	Sudan	1987	APR	16	16/08/2015	16/08/2015	1	NULL	field	NULL	Culicoides imicola	E2BHK2PP1BHK2	Mammalian
GENBANK_XML	no	914340807	ncbi-curated	914340807	KP821505	KP821505.1	KP821505	1635	NULL	Bluetongue virus 1	TUN2007/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Tunisia	2007	SEP	NULL	16/08/2015	16/08/2015	1	NULL	field	NULL	blood	KC1	Culicoides
GENBANK_XML	no	914340809	ncbi-curated	914340809	KP821506	KP821506.1	KP821506	1635	NULL	Bluetongue virus 2	FRA2001/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	France	2001	JUL	31	16/08/2015	16/08/2015	2	NULL	field	Corsica	NULL	V1BHK5	Mammalian
