sequence_id	gb_primary_accession	gb_locus	gb_segment	gb_segment_corrected	gb_isolate	gb_isolate_corrected	gb_host	gb_host_corrected	gb_country	gb_country_corrected	gb_collection_year	gb_collection_year_corrected	gb_collection_month	gb_collection_month_corrected	gb_collection_month_day	gb_collection_month_day_corrected	gb_serotype	gb_serotype_corrected
KP821503	KP821503	KP821503	6		SPA2009/01		Bos taurus		Spain		2009						1	
KP821504	KP821504	KP821504	6		SUD1987/01				Sudan		1987						1	
KP821505	KP821505	KP821505	6		TUN2007/01		Ovis aries		Tunisia		2007						1	
KP821506	KP821506	KP821506	6		FRA2001/01				France		2001						2	
KP821507	KP821507	KP821507	6		FRA2001/03		Ovis aries		France		2001						2	
KP821508	KP821508	KP821508	6		FRA2001/06		Ovis aries		France		2001						2	
KP821509	KP821509	KP821509	6		ISR2001/17		Ovis aries		Israel		2001						2	
KP821510	KP821510	KP821510	6		ITL2002/02		Culicoides pulicaris		Italy		2002						2	
KP821511	KP821511	KP821511	6		ITL2002/07		Ovis aries		Italy		2002						2	
KP821512	KP821512	KP821512	6		RSArrrr/02		Ovis aries		South Africa		1959						2	
KP821513	KP821513	KP821513	6		RSAvvvv/02		Ovis aries		South Africa		1958						2	
KP821514	KP821514	KP821514	6		SAD2001/01		Ovis aries		Italy		2001						2	
KP821515	KP821515	KP821515	6		SAD2001/03		Ovis aries		Italy		2001						2	
KP821516	KP821516	KP821516	6		SAD2002/02		Ovis aries		Italy		2002						2	
KP821517	KP821517	KP821517	6		SPA2005/01		Bos taurus		Spain		2005						2	
KP821518	KP821518	KP821518	6		SUD1983/05		Culicoides sp.		Sudan		1983						2	
KP821519	KP821519	KP821519	6		TUN2000/01				Tunisia		2000						2	
KP821520	KP821520	KP821520	6		CYP1958/01				Cyprus		1958						3	
KP821521	KP821521	KP821521	6		RSArrrr/03		Ovis aries		South Africa		1943						3	
KP821522	KP821522	KP821522	6		CYP1969/01		Bos taurus		Cyprus		1969						4	
KP821523	KP821523	KP821523	6		CYP2004/03		Ovis aries		Cyprus		2004						4	
KP821524	KP821524	KP821524	6		CYP2011/01		Ovis aries		Cyprus		2011						4	
KP821525	KP821525	KP821525	6		CYP2011/02		Ovis aries		Cyprus		2011						4	
KP821526	KP821526	KP821526	6		CYP2011/03		Ovis aries		Cyprus		2011						4	
KP821527	KP821527	KP821527	6		CYP2011/04		Ovis aries		Cyprus		2011						4	
KP821528	KP821528	KP821528	6		CYP2011/05		Ovis aries		Cyprus		2011						4	
KP821529	KP821529	KP821529	6		EGY1977/01				Egypt		1977						4	
KP821530	KP821530	KP821530	6		FRA2003/01				France		2003						4	
KP821531	KP821531	KP821531	6		FRA2003-03.124				France		2003						4	
KP821532	KP821532	KP821532	6		FRA2003-200				France		2003						4	
KP821533	KP821533	KP821533	6		GRE1979/01		Ovis aries		Greece		1979						4	
KP821534	KP821534	KP821534	6		GRE1999/24		Ovis aries		Greece		1999						4	
KP821535	KP821535	KP821535	6		GRE1999/26		Culicoides obsoletus		Greece		1999						4	
KP821536	KP821536	KP821536	6		GRE2000/07		Ovis aries		Greece		2000						4	
KP821537	KP821537	KP821537	6		GRE2000/08		Culicoides obsoletus		Greece		2000						4	
KP821538	KP821538	KP821538	6		GRE2012/01		Ovis aries		Greece		2012						4	
KP821539	KP821539	KP821539	6		GRE2012/02		Ovis aries		Greece		2012						4	
KP821540	KP821540	KP821540	6		GRE2012/03		Ovis aries		Greece		2012						4	
KP821541	KP821541	KP821541	6		ISR2006/12		Ovis aries		Israel		2006						4	
KP821542	KP821542	KP821542	6		ISR2008/02		Bos taurus		Israel		2008						4	
KP821543	KP821543	KP821543	6		MOR2004/02		Ovis aries		Morocco		2004						4	
KP821544	KP821544	KP821544	6		MOR2009/07		Ovis aries		Morocco		2009						4	
KP821545	KP821545	KP821545	6		MOR2009/08		Ovis aries		Morocco		2009						4	
KP821546	KP821546	KP821546	6		MOR2009/09		Ovis aries		Morocco		2009						4	
KP821547	KP821547	KP821547	6		MOR2009/10		Ovis aries		Morocco		2009						4	
KP821548	KP821548	KP821548	6		RSArrrr/04		Ovis aries		South Africa		1969						4	
KP821549	KP821549	KP821549	6		SPA2003/03		Ovis aries		Spain		2003						4	
KP821550	KP821550	KP821550	6		SPA2004/02		Ovis aries		Spain		2004						4	
KP821551	KP821551	KP821551	6		SPA2005/02		Bos taurus		Spain		2005						4	
KP821552	KP821552	KP821552	6		SPA2010/01		Bos taurus		Spain		2010						4	
KP821553	KP821553	KP821553	6		SUD1983/01		Bos taurus		Sudan		1983						4	
KP821554	KP821554	KP821554	6		ISR2008/13		Bos taurus		Israel		2008						8	
KP821555	KP821555	KP821555	6		GRE2008/01		Ovis aries		Greece		2008						8	
KP821556	KP821556	KP821556	6		NET2008/03		Bos taurus		Netherlands		2008						8	
KP821557	KP821557	KP821557	6		RSA1998/01		Capra hircus		South Africa		1998						8	
