sequence_id	gb_primary_accession	gb_accession_version	gb_locus	gb_length	gb_lab_construct	gb_organism	gb_segment	gb_isolate	gb_taxonomy	gb_host	gb_country	gb_collection_year	gb_collection_month	gb_collection_month	gb_collection_month_day	gb_create_date	gb_update_date	gb_serotype	gb_topotype	excluded
1H1K_I	1H1K_I	1H1K_I	1H1K_I	412	NULL	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	20/10/02	10/10/12	NULL	NULL	TRUE
1H1K_J	1H1K_J	1H1K_J	1H1K_J	276	NULL	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	20/10/02	10/10/12	NULL	NULL	TRUE
1H1K_K	1H1K_K	1H1K_K	1H1K_K	265	NULL	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	20/10/02	10/10/12	NULL	NULL	TRUE
1H1K_L	1H1K_L	1H1K_L	1H1K_L	412	NULL	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	20/10/02	10/10/12	NULL	NULL	TRUE
1H1K_M	1H1K_M	1H1K_M	1H1K_M	276	NULL	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	20/10/02	10/10/12	NULL	NULL	TRUE
1H1K_N	1H1K_N	1H1K_N	1H1K_N	265	NULL	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	20/10/02	10/10/12	NULL	NULL	TRUE
HW797836	HW797836	HW797836.1	HW797836	40	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	24/03/15	24/03/15	NULL	NULL	TRUE
HW797837	HW797837	HW797837.1	HW797837	41	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	24/03/15	24/03/15	NULL	NULL	TRUE
HW797838	HW797838	HW797838.1	HW797838	41	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	24/03/15	24/03/15	NULL	NULL	TRUE
HW797839	HW797839	HW797839.1	HW797839	43	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	24/03/15	24/03/15	NULL	NULL	TRUE
HW797840	HW797840	HW797840.1	HW797840	42	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	24/03/15	24/03/15	NULL	NULL	TRUE
