taxon	country_iso	country_display_name	region	sub_region	host	isolate_display_name	year	accession
alignment/PHYLO_UNC_S7/member/ncbi-curated/AB473807	JPN	Japan	asia	eastern_asia	Ovis aries	TO 4-3	1994	AB473807
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF172825	CHN	China	asia	eastern_asia	Ovis aries	Y863_1986	1986	AF172825
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF172826	CHN	China	asia	eastern_asia	Bos taurus	V440	1996	AF172826
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF172827	CHN	China	asia	eastern_asia	Bos taurus	V349	1996	AF172827
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF172828	CHN	China	asia	eastern_asia	Bos taurus	V413	1996	AF172828
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF172829	CHN	China	asia	eastern_asia	Bos taurus	V442	1996	AF172829
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF172830	CHN	China	asia	eastern_asia	Bos taurus	V447	1996	AF172830
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF172831	CHN	China	asia	eastern_asia	Ovis aries	SW	1988	AF172831
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188644	BRB	Barbados	americas	latin_america_and_the_caribbean	-	502034(BTV3 2034 Barb)	-	AF188644
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188645	SLV	El Salvador	americas	latin_america_and_the_caribbean	-	502270 (BTV3 2270 ES)	-	AF188645
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188646	HND	Honduras	americas	latin_america_and_the_caribbean	-	502154(BTV3 2154 Hond)	-	AF188646
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188647	TTO	Trinidad and Tobago	americas	latin_america_and_the_caribbean	-	502165(BTV3 2165 Trin)	-	AF188647
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188648	JAM	Jamaica	americas	latin_america_and_the_caribbean	-	502030 (BTV3 2030 Jama)	-	AF188648
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188649	ZAF	South Africa	africa	sub_saharan_africa	-	600565 (BTV3 565 SA)	-	AF188649
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188650	PRI	Puerto Rico	americas	latin_america_and_the_caribbean	-	296 (BTV17 296 PR)	-	AF188650
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188651	CRI	Costa Rica	americas	latin_america_and_the_caribbean	-	502058 (BTV3 2058 CR) 	-	AF188651
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188652	TTO	Trinidad and Tobago	americas	latin_america_and_the_caribbean	-	502045(BTV3 2045 Toba)	-	AF188652
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188653	HND	Honduras	americas	latin_america_and_the_caribbean	-	502187 (BTV6 2187 Hond)	-	AF188653
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188654	PAN	Panama	americas	latin_america_and_the_caribbean	-	502364 (BTV3 2364 Pana)	-	AF188654
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188655	CRI	Costa Rica	americas	latin_america_and_the_caribbean	-	502354 (BTV3 2354 CR)	-	AF188655
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188656	PAN	Panama	americas	latin_america_and_the_caribbean	-	502152(BTV3 2152 Pana)	-	AF188656
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188657	PAN	Panama	americas	latin_america_and_the_caribbean	-	502168 (BTV3 2168 Pana)	-	AF188657
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188658	PAN	Panama	americas	latin_america_and_the_caribbean	-	502343(BTV3 2343 Pana) 	-	AF188658
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188659	GTM	Guatemala	americas	latin_america_and_the_caribbean	-	502230 (BTV3 2230 Guat)	-	AF188659
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188660	USA	United States	americas	northern_america	-	BTV2 OnaB US	-	AF188660
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188661	JAM	Jamaica	americas	latin_america_and_the_caribbean	-	502131(BTV3 2131 Jama)	-	AF188661
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188662	HND	Honduras	americas	latin_america_and_the_caribbean	-	502233 (BTV6 2233 Hond)	-	AF188662
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188663	GTM	Guatemala	americas	latin_america_and_the_caribbean	-	502350 (BTV3 2350 Guat)	-	AF188663
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188664	GTM	Guatemala	americas	latin_america_and_the_caribbean	-	240 (BTV17 240 Guat)	-	AF188664
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188665	PRI	Puerto Rico	americas	latin_america_and_the_caribbean	-	285 (BTV17 285 PR)	-	AF188665
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188666	PRI	Puerto Rico	americas	latin_america_and_the_caribbean	-	300 (BTV17 300 PR)	-	AF188666
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188667	DOM	Dominican Republic	americas	latin_america_and_the_caribbean	-	502227 (BTV4 2227 DR)	-	AF188667
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188668	ZAF	South Africa	africa	sub_saharan_africa	-	600566 (BTV4 566 SA)	-	AF188668
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188669	ZAF	South Africa	africa	sub_saharan_africa	-	600558(BTV1 558 SA )	-	AF188669
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188670	HND	Honduras	americas	latin_america_and_the_caribbean	-	502172(BTV1 2172 Hond)	-	AF188670
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188671	DOM	Dominican Republic	americas	latin_america_and_the_caribbean	-	502215 (BTV8 2215 DR)	-	AF188671
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188672	ZAF	South Africa	africa	sub_saharan_africa	-	600557(BTV2 557 SA)	-	AF188672
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188673	JAM	Jamaica	americas	latin_america_and_the_caribbean	-	502016 (BTV12 2016 Jama)	-	AF188673
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF188674	USA	United States	americas	northern_america	-	BTV2 OnaA US	-	AF188674
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF346302	FRA	France	europe	western_europe	Ovis aries	Corsican strain 2000	2000	AF346302
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF469115	TUN	Tunisia	africa	northern_africa	Ovis aries	Tunisian strain	-	AF469115
alignment/PHYLO_UNC_S7/member/ncbi-curated/AF481095	ZAF	South Africa	africa	sub_saharan_africa	-	Bluetongue vaccine monovalent serotype 2 Ondersterpoort, South Africa	-	AF481095
alignment/PHYLO_UNC_S7/member/ncbi-curated/AJ277802	IND	India	asia	southern_asia	Ovis aries	Dehradoon	-	AJ277802
alignment/PHYLO_UNC_S7/member/ncbi-curated/AM261975	IND	India	asia	southern_asia	-	N-15 Hyd	-	AM261975
alignment/PHYLO_UNC_S7/member/ncbi-curated/AM261976	IND	India	asia	southern_asia	Ovis aries	Avikanagar 1	-	AM261976
alignment/PHYLO_UNC_S7/member/ncbi-curated/AM261977	IND	India	asia	southern_asia	-	Sirsa S1	-	AM261977
alignment/PHYLO_UNC_S7/member/ncbi-curated/AM261978	IND	India	asia	southern_asia	Ovis aries	Sirsa S3	-	AM261978
alignment/PHYLO_UNC_S7/member/ncbi-curated/AM261979	IND	India	asia	southern_asia	-	IVRI-3	-	AM261979
alignment/PHYLO_UNC_S7/member/ncbi-curated/AM261980	IND	India	asia	southern_asia	-	IVRI-a	-	AM261980
alignment/PHYLO_UNC_S7/member/ncbi-curated/AM261981	IND	India	asia	southern_asia	-	KOL-2_2	-	AM261981
alignment/PHYLO_UNC_S7/member/ncbi-curated/AM498057	NLD	Netherlands	europe	western_europe	Ovis aries	NET2006/04_field	2006	AM498057
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY079124	FRA	France	europe	western_europe	-	Corsican bluetongue virus	2001	AY079124
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY263377	BRA	Brazil	americas	latin_america_and_the_caribbean	-	Unlabelled_AY263377	-	AY263377
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY386682	-	-	-	-	-	Unlabelled_AY386682	-	AY386682
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY485667	FRA	France	europe	western_europe	-	la Reunion	-	AY485667
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY493692	TWN	Taiwan	asia	eastern_asia	Capra hircus	KM	2003	AY493692
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY606206	IND	India	asia	southern_asia	-	Unlabelled_AY606206	-	AY606206
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY643511	IND	India	asia	southern_asia	Ovis aries	Rahuri	-	AY643511
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY643512	IND	India	asia	southern_asia	Ovis aries	Bangalore	-	AY643512
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY776331	ZAF	South Africa	africa	sub_saharan_africa	-	Unlabelled_AY776331	-	AY776331
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY789967	IND	India	asia	southern_asia	Ovis aries	Hisar	1985	AY789967
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY839949	FRA	France	europe	western_europe	Ovis aries	Corsica	2003	AY839949
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY841351	GRC	Greece	europe	southern_europe	Ovis aries	2000	2000	AY841351
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY841352	GRC	Greece	europe	southern_europe	Ovis aries	1999	1999	AY841352
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY841353	ZAF	South Africa	africa	sub_saharan_africa	-	Unlabelled_AY841353	-	AY841353
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY855282	USA	United States	americas	northern_america	-	FL99 13406-2	1999	AY855282
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY855283	USA	United States	americas	northern_america	-	FL99 22364-8	1999	AY855283
alignment/PHYLO_UNC_S7/member/ncbi-curated/AY855284	USA	United States	americas	northern_america	-	FL99 12475	1999	AY855284
alignment/PHYLO_UNC_S7/member/ncbi-curated/DQ399834	IND	India	asia	southern_asia	Ovis aries	Nalgonda12/2003	-	DQ399834
alignment/PHYLO_UNC_S7/member/ncbi-curated/DQ399835	IND	India	asia	southern_asia	Ovis aries	Nalgonda15/2003	-	DQ399835
