taxon	country_iso	country_display_name	region	sub_region	host	isolate_display_name	year	accession
alignment/PHYLO_UNC_S1/member/ncbi-curated/AM498051	NLD	Netherlands	europe	western_europe	Ovis aries	NET2006/04_field	2006	AM498051
alignment/PHYLO_UNC_S1/member/ncbi-curated/AY154458	FRA	France	europe	western_europe	-	Corsican bluetongue virus	2001	AY154458
alignment/PHYLO_UNC_S1/member/ncbi-curated/AY493686	TWN	Taiwan	asia	eastern_asia	Capra hircus	KM	2003	AY493686
alignment/PHYLO_UNC_S1/member/ncbi-curated/FJ183374	NLD	Netherlands	europe	western_europe	-	BTV-8/NLD/2008	-	FJ183374
alignment/PHYLO_UNC_S1/member/ncbi-curated/FJ969719	ZAF	South Africa	africa	sub_saharan_africa	-	RSA Reverse Genetics 1	-	FJ969719
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506451	NLD	Netherlands	europe	western_europe	Bos taurus	NET2007/01	2007	GQ506451
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506468	NLD	Netherlands	europe	western_europe	Bos taurus	NET2008/04	2008	GQ506468
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506472	NLD	Netherlands	europe	western_europe	Bos taurus	NET2008/05	2008	GQ506472
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506488	ZAF	South Africa	africa	sub_saharan_africa	Culicoides sp.	P635	-	GQ506488
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506498	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/06	1958	GQ506498
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506506	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	5011-60E-PP	1958	GQ506506
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506516	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	BT2-03	-	GQ506516
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506526	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	5011-60E-Strathene	1958	GQ506526
alignment/PHYLO_UNC_S1/member/ncbi-curated/GQ506536	USA	United States	americas	northern_america	Bos taurus	USA2006/01	2006	GQ506536
