taxon	country_iso	country_display_name	region	sub_region	host	isolate_display_name	year	accession
alignment/PHYLO_UNC_S9/member/ncbi-curated/AF403418	-	-	-	-	-	62-45S	-	AF403418
alignment/PHYLO_UNC_S9/member/ncbi-curated/AF403419	-	-	-	-	-	BTV1SA-ABADRL	-	AF403419
alignment/PHYLO_UNC_S9/member/ncbi-curated/AF403420	-	-	-	-	-	BTV2_OnaA_S9	-	AF403420
alignment/PHYLO_UNC_S9/member/ncbi-curated/AF403421	USA	United States	americas	northern_america	-	OnaB	1982	AF403421
alignment/PHYLO_UNC_S9/member/ncbi-curated/AF403422	-	-	-	-	-	BTV2_SA_S9	-	AF403422
alignment/PHYLO_UNC_S9/member/ncbi-curated/AF403423	-	-	-	-	-	BTV4SA_S9	-	AF403423
alignment/PHYLO_UNC_S9/member/ncbi-curated/AF530066	ZAF	South Africa	africa	sub_saharan_africa	-	Unlabelled_AF530066	-	AF530066
alignment/PHYLO_UNC_S9/member/ncbi-curated/AM498059	NLD	Netherlands	europe	western_europe	Ovis aries	NET2006/04_field	2006	AM498059
alignment/PHYLO_UNC_S9/member/ncbi-curated/AY124373	FRA	France	europe	western_europe	-	Corsican bluetongue virus	2001	AY124373
alignment/PHYLO_UNC_S9/member/ncbi-curated/AY493691	TWN	Taiwan	asia	eastern_asia	Capra hircus	KM	2003	AY493691
alignment/PHYLO_UNC_S9/member/ncbi-curated/D00509	-	-	-	-	-	Unlabelled_D00509	-	D00509
alignment/PHYLO_UNC_S9/member/ncbi-curated/D10905	ZAF	South Africa	africa	sub_saharan_africa	-	South Africa	-	D10905
alignment/PHYLO_UNC_S9/member/ncbi-curated/DQ289045	AUS	Australia	oceania	australia_and_new_zealand	-	AH5230	-	DQ289045
alignment/PHYLO_UNC_S9/member/ncbi-curated/DQ289047	AUS	Australia	oceania	australia_and_new_zealand	-	5319A07	-	DQ289047
alignment/PHYLO_UNC_S9/member/ncbi-curated/DQ289048	AUS	Australia	oceania	australia_and_new_zealand	-	Unlabelled_DQ289048	-	DQ289048
alignment/PHYLO_UNC_S9/member/ncbi-curated/DQ825668	FRA	France	europe	western_europe	-	Unlabelled_DQ825668	2003	DQ825668
alignment/PHYLO_UNC_S9/member/ncbi-curated/DQ825669	GRC	Greece	europe	southern_europe	-	Unlabelled_DQ825669	2000	DQ825669
alignment/PHYLO_UNC_S9/member/ncbi-curated/DQ825671	TUR	Turkey	asia	western_asia	-	Unlabelled_DQ825671	1999	DQ825671
alignment/PHYLO_UNC_S9/member/ncbi-curated/DQ832170	ZAF	South Africa	africa	sub_saharan_africa	-	BTVVACSA	2003	DQ832170
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220289	GRC	Greece	europe	southern_europe	Ovis aries	GRE2001/01	2001	EU220289
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220290	IND	India	asia	southern_asia	-	BTV-1/IND2003/10	2003	EU220290
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220291	ARG	Argentina	americas	latin_america_and_the_caribbean	Bos taurus	ARG2002/01	2002	EU220291
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220292	ZAF	South Africa	africa	sub_saharan_africa	-	RSAvvv3/04	-	EU220292
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220293	IND	India	asia	southern_asia	-	IND2005/01	2005	EU220293
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220294	BIH	Bosnia and Herzegovina	europe	southern_europe	Ovis aries	BOS2002/02	2002	EU220294
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220295	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSAvvv1/09	1942	EU220295
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220296	TUR	Turkey	asia	western_asia	-	TUR2000/01	2000	EU220296
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU220297	IND	India	asia	southern_asia	-	IND2004/08	2004	EU220297
alignment/PHYLO_UNC_S9/member/ncbi-curated/EU839845	CHE	Switzerland	europe	western_europe	Capra hircus	TOV	2007	EU839845
alignment/PHYLO_UNC_S9/member/ncbi-curated/FJ183382	NLD	Netherlands	europe	western_europe	-	BTV-8/NLD/2008	-	FJ183382
alignment/PHYLO_UNC_S9/member/ncbi-curated/FJ437560	FRA	France	europe	western_europe	Ovis aries	btv1/07-01	2007	FJ437560
alignment/PHYLO_UNC_S9/member/ncbi-curated/FJ437563	DZA	Algeria	africa	northern_africa	Ovis aries	El Bayadh	2006	FJ437563
alignment/PHYLO_UNC_S9/member/ncbi-curated/FJ969727	ZAF	South Africa	africa	sub_saharan_africa	-	RSA Reverse Genetics 1	-	FJ969727
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506459	NLD	Netherlands	europe	western_europe	Bos taurus	NET2007/01	2007	GQ506459
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506467	DEU	Germany	europe	western_europe	Bos taurus	GER2008/05	2008	GQ506467
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506480	NLD	Netherlands	europe	western_europe	Bos taurus	NET2008/05	2008	GQ506480
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506486	NLD	Netherlands	europe	western_europe	Bos taurus	NET2008/06	2008	GQ506486
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506496	ZAF	South Africa	africa	sub_saharan_africa	Culicoides sp.	P635	-	GQ506496
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506504	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/06	1958	GQ506504
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506514	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	5011-60E-PP	1958	GQ506514
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506524	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	BT2-03	-	GQ506524
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506534	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	5011-60E-Strathene	1958	GQ506534
alignment/PHYLO_UNC_S9/member/ncbi-curated/GQ506544	USA	United States	americas	northern_america	Bos taurus	USA2006/01	2006	GQ506544
alignment/PHYLO_UNC_S9/member/ncbi-curated/GU390662	TWN	Taiwan	asia	eastern_asia	Bos taurus	BTV12/PT/2003	2003	GU390662
alignment/PHYLO_UNC_S9/member/ncbi-curated/JF443161	IND	India	asia	southern_asia	Ovis aries	BBF	2006	JF443161
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255161	KWT	Kuwait	asia	western_asia	Ovis aries	KUW2010/02	2010	JN255161
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255870	ITA	Italy	europe	southern_europe	Ovis aries	BTV-2IT(L)	2000	JN255870
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255880	ITA	Italy	europe	southern_europe	Ovis aries	BTV-2IT(H)	2000	JN255880
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255890	ITA	Italy	europe	southern_europe	Ovis aries	BTV-4IT(L)	2003	JN255890
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255900	ITA	Italy	europe	southern_europe	Ovis aries	BTV-4IT(H)	2003	JN255900
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255910	ITA	Italy	europe	southern_europe	Ovis aries	BTV-9IT(L)	2000	JN255910
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255920	ITA	Italy	europe	southern_europe	Ovis aries	BTV-9IT(H)	2000	JN255920
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255930	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	BTV-2RSA(WT)	-	JN255930
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255940	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	BTV-2RSA(vacc)	-	JN255940
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255950	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	BTV4-RSA(vacc)	1900	JN255950
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255960	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	BTV-9RSA(WT)	1942	JN255960
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN255970	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	BTV-9RSA(vacc)	1942	JN255970
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN671914	CHN	China	asia	eastern_asia	Ovis aries	BN96/16	1996	JN671914
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN848767	CHN	China	asia	eastern_asia	Ovis aries	SZ97/1	1997	JN848767
alignment/PHYLO_UNC_S9/member/ncbi-curated/JN881993	AUS	Australia	oceania	australia_and_new_zealand	Bos taurus	CSIRO156	1979	JN881993
alignment/PHYLO_UNC_S9/member/ncbi-curated/JQ086229	AUS	Australia	oceania	australia_and_new_zealand	Bos taurus	DPP192_passage_history_1	1982	JQ086229
alignment/PHYLO_UNC_S9/member/ncbi-curated/JQ086239	AUS	Australia	oceania	australia_and_new_zealand	Bos taurus	DPP965	1986	JQ086239
alignment/PHYLO_UNC_S9/member/ncbi-curated/JQ086249	AUS	Australia	oceania	australia_and_new_zealand	Bos taurus	v7291-DPP7291	2008	JQ086249
