taxon	country_iso	country_display_name	region	sub_region	host	isolate_display_name	year	accession
alignment/PHYLO_UNC_S4/member/ncbi-curated/AM498054	NLD	Netherlands	europe	western_europe	Ovis aries	NET2006/04_field	2006	AM498054
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY129085	FRA	France	europe	western_europe	-	Corsican bluetongue virus	2001	AY129085
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY134477	ZAF	South Africa	africa	sub_saharan_africa	-	Ondersterpoort BTV-2 monovalent vaccine	-	AY134477
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY493689	TWN	Taiwan	asia	eastern_asia	Capra hircus	KM	2003	AY493689
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY855270	ZAF	South Africa	africa	sub_saharan_africa	-	557 SA	1959	AY855270
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY855271	USA	United States	americas	northern_america	-	OnaA	1982	AY855271
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY855272	USA	United States	americas	northern_america	-	OnaB	1982	AY855272
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY855273	USA	United States	americas	northern_america	-	FL99 13406-2	1999	AY855273
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY855274	USA	United States	americas	northern_america	-	FL99 22364-8	1999	AY855274
alignment/PHYLO_UNC_S4/member/ncbi-curated/AY855275	USA	United States	americas	northern_america	-	FL99 12475	1999	AY855275
alignment/PHYLO_UNC_S4/member/ncbi-curated/FJ183377	NLD	Netherlands	europe	western_europe	-	BTV-8/NLD/2008	-	FJ183377
alignment/PHYLO_UNC_S4/member/ncbi-curated/FJ969722	ZAF	South Africa	africa	sub_saharan_africa	-	RSA Reverse Genetics 1	-	FJ969722
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506454	NLD	Netherlands	europe	western_europe	Bos taurus	NET2007/01	2007	GQ506454
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506462	DEU	Germany	europe	western_europe	Bos taurus	GER2008/05	2008	GQ506462
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506470	NLD	Netherlands	europe	western_europe	Bos taurus	NET2008/04	2008	GQ506470
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506475	NLD	Netherlands	europe	western_europe	Bos taurus	NET2008/05	2008	GQ506475
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506491	ZAF	South Africa	africa	sub_saharan_africa	Culicoides sp.	P635	-	GQ506491
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506500	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/06	1958	GQ506500
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506509	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	5011-60E-PP	1958	GQ506509
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506519	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	BT2-03	-	GQ506519
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506529	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	5011-60E-Strathene	1958	GQ506529
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ506539	USA	United States	americas	northern_america	Bos taurus	USA2006/01	2006	GQ506539
alignment/PHYLO_UNC_S4/member/ncbi-curated/GQ982524	CHE	Switzerland	europe	western_europe	Capra hircus	TOV	2007	GQ982524
alignment/PHYLO_UNC_S4/member/ncbi-curated/GU390661	TWN	Taiwan	asia	eastern_asia	Bos taurus	BTV12/PT/2003	2003	GU390661
alignment/PHYLO_UNC_S4/member/ncbi-curated/JF443159	IND	India	asia	southern_asia	Ovis aries	BBF	2006	JF443159
alignment/PHYLO_UNC_S4/member/ncbi-curated/JN255157	KWT	Kuwait	asia	western_asia	Ovis aries	KUW2010/02	2010	JN255157
alignment/PHYLO_UNC_S4/member/ncbi-curated/JN255865	ITA	Italy	europe	southern_europe	Ovis aries	BTV-2IT(L)	2000	JN255865
