taxon	country_iso	country_display_name	region	sub_region	host	isolate_display_name	year	accession
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686227	JPN	Japan	asia	eastern_asia	Bos taurus	173	1985	AB686227
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686228	JPN	Japan	asia	eastern_asia	Bos taurus	KY63	1987	AB686228
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686229	JPN	Japan	asia	eastern_asia	Bos taurus	ON89-1	1989	AB686229
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686230	JPN	Japan	asia	eastern_asia	Culicoides sp.	ON90-2	1990	AB686230
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686231	JPN	Japan	asia	eastern_asia	Bos taurus	ON90-4	1990	AB686231
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686232	JPN	Japan	asia	eastern_asia	Ovis aries	TO2-1	1994	AB686232
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686233	JPN	Japan	asia	eastern_asia	Bos taurus	ON-6/B/98	1998	AB686233
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686234	JPN	Japan	asia	eastern_asia	Culicoides sp.	MZ-1/C/01	2001	AB686234
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686235	JPN	Japan	asia	eastern_asia	Culicoides sp.	KSB-31/C/01	2001	AB686235
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686236	JPN	Japan	asia	eastern_asia	Bos taurus	NS-1/E/02	2002	AB686236
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686237	JPN	Japan	asia	eastern_asia	Culicoides sp.	ON-2/C/03	2003	AB686237
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686238	JPN	Japan	asia	eastern_asia	Culicoides sp.	MZ-1/C/07	2007	AB686238
alignment/PHYLO_UNC_S6/member/ncbi-curated/AB686239	JPN	Japan	asia	eastern_asia	Culicoides sp.	KSB-6/C/08	2008	AB686239
