taxon	country_iso	country_display_name	region	sub_region	host	isolate_display_name	year	accession
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM498058	NLD	Netherlands	europe	western_europe	Ovis aries	NET2006/04_field	2006	AM498058
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900372	GRC	Greece	europe	southern_europe	-	GRE2000/01	2000	AM900372
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900373	TUR	Turkey	asia	western_asia	-	TUR1978/01	1978	AM900373
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900374	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSAvvv1/09	1942	AM900374
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900375	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/09	1942	AM900375
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900376	TUR	Turkey	asia	western_asia	-	TUR2000/03	2000	AM900376
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900377	BIH	Bosnia and Herzegovina	europe	southern_europe	Ovis aries	BOS2002/02	2002	AM900377
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900378	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/05	1953	AM900378
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900379	ZAF	South Africa	africa	sub_saharan_africa	Bos taurus	RSArrrr/15	1960	AM900379
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900380	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/19	1976	AM900380
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900381	IND	India	asia	southern_asia	Ovis aries	IND1997/01	-	AM900381
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900382	IND	India	asia	southern_asia	-	IND1982/01	1982	AM900382
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900383	SDN	Sudan	africa	northern_africa	-	SUD1987/01	1987	AM900383
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900384	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/01_reference	1958	AM900384
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900385	IND	India	asia	southern_asia	-	IND2005/02	2005	AM900385
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900386	IND	India	asia	southern_asia	-	IND2004/05	2004	AM900386
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900387	IND	India	asia	southern_asia	-	IND2004/08	2004	AM900387
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900388	IND	India	asia	southern_asia	-	IND2005/01	2005	AM900388
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900389	NLD	Netherlands	europe	western_europe	Ovis aries	NET2006/01(12)	2006	AM900389
alignment/PHYLO_UNC_S8/member/ncbi-curated/AM900390	AUS	Australia	oceania	australia_and_new_zealand	Bos taurus	RSArrrr/21	1979	AM900390
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY124372	FRA	France	europe	western_europe	-	Corsican bluetongue virus	2001	AY124372
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY138896	ZAF	South Africa	africa	sub_saharan_africa	-	Ondersterpoort BTV-2 monovalent vaccine	-	AY138896
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY493684	TWN	Taiwan	asia	eastern_asia	Capra hircus	KM	2003	AY493684
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY855285	ZAF	South Africa	africa	sub_saharan_africa	-	557 SA	1959	AY855285
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY855286	USA	United States	americas	northern_america	-	OnaA	1982	AY855286
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY855287	USA	United States	americas	northern_america	-	OnaB	1982	AY855287
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY855288	USA	United States	americas	northern_america	-	FL99 13406-2	1999	AY855288
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY855289	USA	United States	americas	northern_america	-	FL99 22364-8	1999	AY855289
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY855290	USA	United States	americas	northern_america	-	FL99 12475	1999	AY855290
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY857499	FRA	France	europe	western_europe	Ovis aries	Corsica	2003	AY857499
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY857500	GRC	Greece	europe	southern_europe	Ovis aries	1999	1999	AY857500
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY857501	GRC	Greece	europe	southern_europe	Ovis aries	2000	2000	AY857501
alignment/PHYLO_UNC_S8/member/ncbi-curated/AY857502	ZAF	South Africa	africa	sub_saharan_africa	-	Unlabelled_AY857502	-	AY857502
alignment/PHYLO_UNC_S8/member/ncbi-curated/D00500	-	-	-	-	-	Unlabelled_D00500	-	D00500
alignment/PHYLO_UNC_S8/member/ncbi-curated/DQ825673	TUR	Turkey	asia	western_asia	-	Unlabelled_DQ825673	1999	DQ825673
alignment/PHYLO_UNC_S8/member/ncbi-curated/EU839844	CHE	Switzerland	europe	western_europe	Capra hircus	TOV	2007	EU839844
alignment/PHYLO_UNC_S8/member/ncbi-curated/FJ183381	NLD	Netherlands	europe	western_europe	-	BTV-8/NLD/2008	-	FJ183381
alignment/PHYLO_UNC_S8/member/ncbi-curated/FJ437559	FRA	France	europe	western_europe	Ovis aries	btv1/07-01	2007	FJ437559
alignment/PHYLO_UNC_S8/member/ncbi-curated/FJ440679	DZA	Algeria	africa	northern_africa	Ovis aries	El Bayadh	2006	FJ440679
alignment/PHYLO_UNC_S8/member/ncbi-curated/FJ969726	ZAF	South Africa	africa	sub_saharan_africa	-	RSA Reverse Genetics 1	-	FJ969726
alignment/PHYLO_UNC_S8/member/ncbi-curated/GQ506458	NLD	Netherlands	europe	western_europe	Bos taurus	NET2007/01	2007	GQ506458
alignment/PHYLO_UNC_S8/member/ncbi-curated/GQ506466	DEU	Germany	europe	western_europe	Bos taurus	GER2008/05	2008	GQ506466
alignment/PHYLO_UNC_S8/member/ncbi-curated/GQ506479	NLD	Netherlands	europe	western_europe	Bos taurus	NET2008/05	2008	GQ506479
alignment/PHYLO_UNC_S8/member/ncbi-curated/GQ506485	NLD	Netherlands	europe	western_europe	Bos taurus	NET2008/06	2008	GQ506485
alignment/PHYLO_UNC_S8/member/ncbi-curated/GQ506495	ZAF	South Africa	africa	sub_saharan_africa	Culicoides sp.	P635	-	GQ506495
alignment/PHYLO_UNC_S8/member/ncbi-curated/GQ506503	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	RSArrrr/06	1958	GQ506503
alignment/PHYLO_UNC_S8/member/ncbi-curated/GQ506513	ZAF	South Africa	africa	sub_saharan_africa	Ovis aries	5011-60E-PP	1958	GQ506513
